Item,lockerName,deploymentDate,buildingType,zh_HK.region,zh_HK.district,zh_hk.street,zh_HK.streetNumber,zh_HK.building,zh_HK.floor,zh_HK.description,en.description,en.floor,en.building,en.streetNumber,en.street,en.district,en.region,clubhouse,nickname,kiosk,boxes,availability,accessible,certificateId:,csNumber,
66,CenturyLink,"March 1, 2017",住宅,新界,東涌,迎康街,6號,東環,,會所,Club House,,,,,Tung Chung,New Territories,Y,Douglas,,,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
67,SaddleRidgeGarden,"March 1, 2017",住宅,新界,馬鞍山,錦英路,6號,富寶花園,,,,,Saddle Ridge Garden,6,Kam Ying Road,Ma On Shan,New Territories,,Bobo,,,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
68,711-0434,,便利店,新界,馬鞍山,西沙路,608號,海柏花園馬鞍山廣場,2樓,201-202舖，7-11便利店,"7-Eleven, Shop 201-202",2/F,"Ma On Shan Plaza, Bayshore Towers",608,Sai Sha Road,Ma On Shan,New Territories,N,,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
69,711-1366,,便利店,新界,荃灣,荃景圍,187-195號,荃威花園第一期,地下,7號舖，7-11便利店,"7-Eleven, Shop 7",G/F,Allway Gardens,187-195,Tsuen King Circuit,Tsuen Wan,New Territories,N,Wayne,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
70,711-0312,,便利店,新界,青衣,細山路,2-16號,美景花園中座,,第3-4&17-20號舖，7-11便利店,"7-Eleven, Shop 3-4 & 17-20",,"Central Block, Mayfair Gardens",2-16,Sai Shan Road,Kwai Tsing,New Territories,N,Macy,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
71,711-0247,,便利店,新界,上水,天平路,48號,天平邨購物商場,,116號舖，7-11便利店,"7-Eleven, Shop 116",,Tin Ping Estate Shopping Centre,48,Tin Ping Road,Sheung Shui,New Territories,N,Tippie,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
72,711-0388,,便利店,香港,北角,七姊妹道,180-182號,健康邨,地下,A舖，7-11便利店,"7-Eleven, Shop A",G/F,Happy Village,180-182,Tsat Tsz Mui Road,North Point,Hong Kong,N,Ken,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
73,711-0150,,便利店,香港,上環,干諾道中,168-200號,信德中心G01,2樓,232舖，7-11便利店,"7-Eleven, Shop 232",2/F,Shun Tak Centre G01,168-200,Connaught Road Central,Sheung Wan,Hong Kong,N,,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
74,711-1306,,便利店,香港,灣仔,港灣道,30號,新鴻基中心,1樓,134至135號舖，7-11便利店,"7-Eleven, Shop 134-135",1/F,Sun Hung Kai Centre,30,Harbour Road,Wan Chai,Hong Kong,N,,,13,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
75,Riva,,住宅,新界,元朗,映河路,1號,爾巒,平台,會所通道,Club House Corridor,Podium,Riva,1,Ying Ho Road,Yuen Long,New Territories,Y,Riva,,,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
